user_id,animal,est_i,estimation
11392301,pigeon,0,1
11392301,pigeon,1,1
11392301,pigeon,2,50
11392301,pigeon,3,50
11392301,pigeon,4,1
11392301,pigeon,5,0
11392301,mouse,0,50
11392301,mouse,1,75
11392301,mouse,2,87
11392301,mouse,3,95
11392301,mouse,4,99
11392301,mouse,5,100
11392301,rabbit,0,1
11392301,rabbit,1,20
11392301,rabbit,2,20
11392301,rabbit,3,10
11392301,rabbit,4,50
11392301,rabbit,5,50
96384379,rabbit,0,75
96384379,rabbit,1,40
96384379,rabbit,2,90
96384379,rabbit,3,90
96384379,rabbit,4,30
96384379,rabbit,5,100
96384379,pigeon,0,100
96384379,pigeon,1,94
96384379,pigeon,2,100
96384379,pigeon,3,80
96384379,pigeon,4,100
96384379,pigeon,5,90
96384379,mouse,0,95
96384379,mouse,1,100
96384379,mouse,2,50
96384379,mouse,3,90
96384379,mouse,4,45
96384379,mouse,5,90
03475291,mouse,0,75
03475291,mouse,1,15
03475291,mouse,2,90
03475291,mouse,3,10
03475291,mouse,4,70
03475291,mouse,5,75
03475291,pigeon,0,70
03475291,pigeon,1,55
03475291,pigeon,2,30
03475291,pigeon,3,85
03475291,pigeon,4,20
03475291,pigeon,5,15
03475291,rabbit,0,60
03475291,rabbit,1,50
03475291,rabbit,2,75
03475291,rabbit,3,80
03475291,rabbit,4,55
03475291,rabbit,5,60
80741532,rabbit,0,30
80741532,rabbit,1,30
80741532,rabbit,2,35
80741532,rabbit,3,40
80741532,rabbit,4,42
80741532,rabbit,5,45
80741532,mouse,0,68
80741532,mouse,1,52
80741532,mouse,2,59
80741532,mouse,3,55
80741532,mouse,4,65
80741532,mouse,5,65
80741532,pigeon,0,53
80741532,pigeon,1,58
80741532,pigeon,2,60
80741532,pigeon,3,55
80741532,pigeon,4,55
80741532,pigeon,5,53
99961476,mouse,0,80
99961476,mouse,1,80
99961476,mouse,2,70
99961476,mouse,3,75
99961476,mouse,4,75
99961476,mouse,5,75
99961476,pigeon,0,20
99961476,pigeon,1,20
99961476,pigeon,2,20
99961476,pigeon,3,20
99961476,pigeon,4,20
99961476,pigeon,5,20
99961476,rabbit,0,60
99961476,rabbit,1,65
99961476,rabbit,2,63
99961476,rabbit,3,68
99961476,rabbit,4,70
99961476,rabbit,5,65
48918159,pigeon,0,20
48918159,pigeon,1,65
48918159,pigeon,2,75
48918159,pigeon,3,10
48918159,pigeon,4,20
48918159,pigeon,5,10
48918159,rabbit,0,80
48918159,rabbit,1,60
48918159,rabbit,2,30
48918159,rabbit,3,50
48918159,rabbit,4,70
48918159,rabbit,5,40
48918159,mouse,0,30
48918159,mouse,1,35
48918159,mouse,2,75
48918159,mouse,3,80
48918159,mouse,4,30
48918159,mouse,5,50
10733102,pigeon,0,100
10733102,pigeon,1,90
10733102,pigeon,2,85
10733102,pigeon,3,80
10733102,pigeon,4,85
10733102,pigeon,5,85
10733102,rabbit,0,70
10733102,rabbit,1,75
10733102,rabbit,2,80
10733102,rabbit,3,80
10733102,rabbit,4,85
10733102,rabbit,5,85
10733102,mouse,0,60
10733102,mouse,1,70
10733102,mouse,2,60
10733102,mouse,3,75
10733102,mouse,4,65
10733102,mouse,5,70
07311108,rabbit,0,72
07311108,rabbit,1,54
07311108,rabbit,2,55
07311108,rabbit,3,64
07311108,rabbit,4,69
07311108,rabbit,5,55
07311108,mouse,0,89
07311108,mouse,1,87
07311108,mouse,2,92
07311108,mouse,3,92
07311108,mouse,4,91
07311108,mouse,5,94
07311108,pigeon,0,67
07311108,pigeon,1,62
07311108,pigeon,2,57
07311108,pigeon,3,68
07311108,pigeon,4,55
07311108,pigeon,5,50
14085309,rabbit,0,10
14085309,rabbit,1,25
14085309,rabbit,2,35
14085309,rabbit,3,60
14085309,rabbit,4,50
14085309,rabbit,5,40
14085309,mouse,0,60
14085309,mouse,1,46
14085309,mouse,2,40
14085309,mouse,3,25
14085309,mouse,4,63
14085309,mouse,5,70
14085309,pigeon,0,10
14085309,pigeon,1,46
14085309,pigeon,2,40
14085309,pigeon,3,29
14085309,pigeon,4,10
14085309,pigeon,5,37
92977789,mouse,0,40
92977789,mouse,1,70
92977789,mouse,2,80
92977789,mouse,3,80
92977789,mouse,4,80
92977789,mouse,5,80
92977789,rabbit,0,50
92977789,rabbit,1,60
92977789,rabbit,2,65
92977789,rabbit,3,60
92977789,rabbit,4,50
92977789,rabbit,5,55
92977789,pigeon,0,50
92977789,pigeon,1,60
92977789,pigeon,2,70
92977789,pigeon,3,70
92977789,pigeon,4,75
92977789,pigeon,5,80
40125720,rabbit,0,70
40125720,rabbit,1,80
40125720,rabbit,2,100
40125720,rabbit,3,100
40125720,rabbit,4,67
40125720,rabbit,5,80
40125720,pigeon,0,100
40125720,pigeon,1,100
40125720,pigeon,2,80
40125720,pigeon,3,100
40125720,pigeon,4,80
40125720,pigeon,5,84
40125720,mouse,0,100
40125720,mouse,1,83
40125720,mouse,2,80
