"user_id","animal","est_i","estimation"
"08643198","mouse",1,85
"08643198","mouse",2,80
"08643198","mouse",3,75
"08643198","mouse",4,90
"08643198","mouse",5,80
"08643198","mouse",0,90
"08643198","rabbit",1,90
"08643198","rabbit",2,90
"08643198","rabbit",3,80
"08643198","rabbit",4,90
"08643198","rabbit",5,50
"08643198","rabbit",0,80
"08643198","pigeon",1,85
"08643198","pigeon",2,35
"08643198","pigeon",3,30
"08643198","pigeon",4,50
"08643198","pigeon",5,40
"08643198","pigeon",0,25
"53340332","rabbit",1,90
"53340332","rabbit",2,95
"53340332","rabbit",3,88
"53340332","rabbit",4,92
"53340332","rabbit",5,89
"53340332","rabbit",0,85
"53340332","mouse",1,93
"53340332","mouse",2,96
"53340332","mouse",3,92
"53340332","mouse",4,95
"53340332","mouse",5,98
"53340332","mouse",0,99
"53340332","pigeon",1,92
"53340332","pigeon",2,70
"53340332","pigeon",3,65
"53340332","pigeon",4,55
"53340332","pigeon",5,58
"53340332","pigeon",0,60
"95455848","pigeon",1,55
"95455848","pigeon",2,41
"95455848","pigeon",3,61
"95455848","pigeon",4,57
"95455848","pigeon",5,64
"95455848","pigeon",0,61
"95455848","rabbit",1,56
"95455848","rabbit",2,54
"95455848","rabbit",3,57
"95455848","rabbit",4,65
"95455848","rabbit",5,55
"95455848","rabbit",0,61
"95455848","mouse",1,66
"95455848","mouse",2,57
"95455848","mouse",3,55
"95455848","mouse",4,58
"95455848","mouse",5,68
"95455848","mouse",0,24
"83350432","mouse",1,90
"83350432","mouse",2,86
"83350432","mouse",3,64
"83350432","mouse",4,53
"83350432","mouse",5,74
"83350432","mouse",0,78
"83350432","rabbit",1,68
"83350432","rabbit",2,58
"83350432","rabbit",3,66
"83350432","rabbit",4,60
"83350432","rabbit",5,65
"83350432","rabbit",0,56
"83350432","pigeon",1,47
"83350432","pigeon",2,64
"83350432","pigeon",3,58
"83350432","pigeon",4,60
"83350432","pigeon",5,55
"83350432","pigeon",0,66
"25940822","rabbit",1,70
"25940822","rabbit",2,25
"25940822","rabbit",3,25
"25940822","rabbit",4,52
"25940822","rabbit",5,46
"25940822","rabbit",0,32
"25940822","mouse",1,33
"25940822","mouse",2,31
"25940822","mouse",3,99
"25940822","mouse",4,99
"25940822","mouse",5,99
"25940822","mouse",0,33
"25940822","pigeon",1,50
"25940822","pigeon",2,90
"25940822","pigeon",3,25
"25940822","pigeon",4,36
"25940822","pigeon",5,50
"25940822","pigeon",0,45
"10558358","rabbit",1,80
"10558358","rabbit",2,70
"10558358","rabbit",3,80
"10558358","rabbit",4,85
"10558358","rabbit",5,60
"10558358","rabbit",0,90
"10558358","pigeon",1,100
"10558358","pigeon",2,95
"10558358","pigeon",3,90
"10558358","pigeon",4,95
"10558358","pigeon",5,98
"10558358","pigeon",0,95
"10558358","mouse",1,50
"10558358","mouse",2,40
"10558358","mouse",3,60
"10558358","mouse",4,70
"10558358","mouse",5,65
"10558358","mouse",0,80
"29601972","pigeon",1,100
"29601972","pigeon",2,100
"29601972","pigeon",3,100
"29601972","pigeon",4,60
"29601972","pigeon",5,80
"29601972","pigeon",0,90
"29601972","mouse",1,60
"29601972","mouse",2,80
"29601972","mouse",3,60
"29601972","mouse",4,80
"29601972","mouse",5,75
"29601972","mouse",0,60
"29601972","rabbit",1,70
"29601972","rabbit",2,60
"29601972","rabbit",3,55
"29601972","rabbit",4,60
"29601972","rabbit",5,60
"29601972","rabbit",0,60
"20855467","mouse",1,80
"20855467","mouse",2,80
"20855467","mouse",3,70
"20855467","mouse",4,75
"20855467","mouse",5,60
"20855467","mouse",0,75
"20855467","rabbit",1,80
"20855467","rabbit",2,35
"20855467","rabbit",3,35
"20855467","rabbit",4,85
"20855467","rabbit",5,65
"20855467","rabbit",0,70
"20855467","pigeon",1,50
"20855467","pigeon",2,80
"20855467","pigeon",3,80
"20855467","pigeon",4,80
"20855467","pigeon",5,75
"20855467","pigeon",0,75
"84359571","mouse",1,95
"84359571","mouse",2,66
"84359571","mouse",3,95
"84359571","mouse",4,50
"84359571","mouse",5,40
"84359571","mouse",0,75
"84359571","rabbit",1,50
"84359571","rabbit",2,30
"84359571","rabbit",3,60
"84359571","rabbit",4,60
"84359571","rabbit",5,40
"84359571","rabbit",0,90
"84359571","pigeon",1,30
"84359571","pigeon",2,70
"84359571","pigeon",3,70
"84359571","pigeon",4,55
"84359571","pigeon",5,25
"84359571","pigeon",0,60
"45833997","pigeon",1,65
"45833997","pigeon",2,78
"45833997","pigeon",3,59
"45833997","pigeon",4,55
"45833997","pigeon",5,71
"45833997","pigeon",0,87
"45833997","mouse",1,80
"45833997","mouse",2,65
"45833997","mouse",3,57
"45833997","mouse",4,57
"45833997","mouse",5,61
"45833997","mouse",0,54
"45833997","rabbit",1,79
"45833997","rabbit",2,63
"45833997","rabbit",3,58
"45833997","rabbit",4,59
"45833997","rabbit",5,56
"45833997","rabbit",0,59
"30021341","mouse",1,90
"30021341","mouse",2,26
"30021341","mouse",3,85
"30021341","mouse",4,80
"30021341","mouse",5,75
"30021341","mouse",0,60
"30021341","rabbit",1,85
"30021341","rabbit",2,65
"30021341","rabbit",3,85
"30021341","rabbit",4,76
"30021341","rabbit",5,82
"30021341","rabbit",0,78
"30021341","pigeon",1,82
"30021341","pigeon",2,99
"30021341","pigeon",3,91
"30021341","pigeon",4,95
"30021341","pigeon",5,78
"30021341","pigeon",0,58
"88220531","pigeon",1,80
"88220531","pigeon",2,70
"88220531","pigeon",3,80
"88220531","pigeon",4,80
"88220531","pigeon",5,80
"88220531","pigeon",0,85
"88220531","mouse",1,75
"88220531","mouse",2,75
"88220531","mouse",3,60
"88220531","mouse",4,50
"88220531","mouse",5,90
"88220531","mouse",0,60
"88220531","rabbit",1,95
"88220531","rabbit",2,65
"88220531","rabbit",3,80
"88220531","rabbit",4,95
"88220531","rabbit",5,75
"88220531","rabbit",0,75
"76806144","rabbit",1,80
"76806144","rabbit",2,80
"76806144","rabbit",3,70
