user_id,animal,est_i,estimation
66688113,rabbit,1,66
66688113,rabbit,1,55
66688113,rabbit,2,56
66688113,rabbit,3,40
66688113,rabbit,4,43
66688113,rabbit,5,51
66688113,pigeon,0,72
66688113,pigeon,1,74
66688113,pigeon,2,72
66688113,pigeon,3,81
66688113,pigeon,4,60
66688113,pigeon,5,59
66688113,mouse,0,51
66688113,mouse,0,58
66688113,mouse,1,72
66688113,mouse,2,64
66688113,mouse,3,68
66688113,mouse,4,75
63952963,pigeon,1,30
63952963,pigeon,1,40
63952963,pigeon,2,70
63952963,pigeon,3,80
63952963,pigeon,4,40
63952963,pigeon,5,50
63952963,mouse,0,30
63952963,mouse,1,25
63952963,mouse,2,20
63952963,mouse,3,60
63952963,mouse,4,85
63952963,mouse,5,95
63952963,rabbit,0,30
63952963,rabbit,0,30
63952963,rabbit,1,65
63952963,rabbit,2,80
63952963,rabbit,3,95
63952963,rabbit,4,85
93451055,mouse,1,72
93451055,mouse,1,73
93451055,mouse,2,50
93451055,mouse,3,50
93451055,mouse,4,50
93451055,mouse,5,50
93451055,pigeon,0,50
93451055,pigeon,1,63
93451055,pigeon,2,56
93451055,pigeon,3,95
93451055,pigeon,4,64
93451055,pigeon,5,84
93451055,rabbit,0,61
93451055,rabbit,0,61
93451055,rabbit,1,58
93451055,rabbit,2,50
93451055,rabbit,3,52
93451055,rabbit,4,50
