user_id,animal,est_i,estimation
26539441,pigeon,1,50
26539441,pigeon,2,70
26539441,pigeon,3,80
26539441,pigeon,4,95
26539441,pigeon,5,95
26539441,pigeon,0,95
26539441,rabbit,1,90
26539441,rabbit,2,100
26539441,rabbit,3,75
26539441,rabbit,4,50
26539441,rabbit,5,75
26539441,rabbit,0,95
26539441,mouse,1,50
26539441,mouse,2,60
26539441,mouse,3,50
26539441,mouse,4,60
26539441,mouse,5,50
26539441,mouse,0,65
75459926,rabbit,1,57
75459926,rabbit,2,48
75459926,rabbit,3,58
75459926,rabbit,4,47
75459926,rabbit,5,54
75459926,rabbit,0,44
75459926,pigeon,1,75
75459926,pigeon,2,69
75459926,pigeon,3,77
75459926,pigeon,4,69
75459926,pigeon,5,64
75459926,pigeon,0,68
75459926,mouse,1,83
75459926,mouse,2,81
75459926,mouse,3,79
75459926,mouse,4,76
75459926,mouse,5,75
75459926,mouse,0,81
07520068,pigeon,1,70
07520068,pigeon,2,75
07520068,pigeon,3,75
07520068,pigeon,4,80
07520068,pigeon,5,70
07520068,pigeon,0,75
07520068,mouse,1,70
07520068,mouse,2,80
07520068,mouse,3,75
07520068,mouse,4,70
07520068,mouse,5,80
07520068,mouse,0,75
07520068,rabbit,1,60
07520068,rabbit,2,70
07520068,rabbit,3,70
07520068,rabbit,4,75
07520068,rabbit,5,70
07520068,rabbit,0,75
12288466,mouse,1,75
12288466,mouse,2,82
12288466,mouse,3,48
12288466,mouse,4,52
12288466,mouse,5,88
12288466,mouse,0,94
12288466,rabbit,1,43
12288466,rabbit,2,62
12288466,rabbit,3,55
12288466,rabbit,4,56
12288466,rabbit,5,60
12288466,rabbit,0,52
12288466,pigeon,1,36
12288466,pigeon,2,38
12288466,pigeon,3,55
12288466,pigeon,4,47
12288466,pigeon,5,48
12288466,pigeon,0,39
70221036,mouse,1,61
70221036,mouse,2,52
70221036,mouse,3,70
70221036,mouse,4,69
70221036,mouse,5,70
70221036,mouse,0,73
70221036,rabbit,1,67
70221036,rabbit,2,62
70221036,rabbit,3,78
70221036,rabbit,4,30
70221036,rabbit,5,84
70221036,rabbit,0,76
70221036,pigeon,1,35
70221036,pigeon,2,63
70221036,pigeon,3,37
70221036,pigeon,4,76
70221036,pigeon,5,60
70221036,pigeon,0,35
56694625,mouse,1,15
56694625,mouse,2,95
56694625,mouse,3,65
56694625,mouse,4,75
56694625,mouse,5,80
56694625,mouse,0,55
56694625,pigeon,1,45
56694625,pigeon,2,55
56694625,pigeon,3,25
56694625,pigeon,4,30
56694625,pigeon,5,40
56694625,pigeon,0,40
56694625,rabbit,1,75
56694625,rabbit,2,80
