user_id,animal,est_i,estimation
78400978,mouse,1,80
78400978,mouse,2,90
78400978,mouse,3,70
78400978,mouse,4,80
78400978,mouse,5,85
78400978,mouse,0,80
78400978,pigeon,1,70
78400978,pigeon,2,70
78400978,pigeon,3,70
78400978,pigeon,4,80
78400978,pigeon,5,75
78400978,pigeon,0,70
78400978,rabbit,1,90
78400978,rabbit,2,80
78400978,rabbit,3,85
78400978,rabbit,4,80
78400978,rabbit,5,74
78400978,rabbit,0,75
80370883,rabbit,1,50
80370883,rabbit,2,62
80370883,rabbit,3,35
80370883,rabbit,4,34
80370883,rabbit,5,44
80370883,rabbit,0,61
80370883,pigeon,1,62
80370883,pigeon,2,65
80370883,pigeon,3,26
80370883,pigeon,4,63
80370883,pigeon,5,37
80370883,pigeon,0,57
80370883,mouse,1,40
80370883,mouse,2,37
80370883,mouse,3,61
80370883,mouse,4,38
80370883,mouse,5,56
80370883,mouse,0,56
78400978,mouse,1,80
78400978,mouse,2,90
78400978,mouse,3,70
78400978,mouse,4,80
78400978,mouse,5,85
78400978,mouse,0,80
78400978,pigeon,1,70
78400978,pigeon,2,70
78400978,pigeon,3,70
78400978,pigeon,4,80
78400978,pigeon,5,75
78400978,pigeon,0,70
78400978,rabbit,1,90
78400978,rabbit,2,80
78400978,rabbit,3,85
78400978,rabbit,4,80
78400978,rabbit,5,74
78400978,rabbit,0,75
78400978,rabbit,0,75
80770284,mouse,1,90
80770284,mouse,2,0
80770284,mouse,3,70
80770284,mouse,4,100
80770284,mouse,5,95
80770284,mouse,0,45
80770284,rabbit,1,40
80770284,rabbit,2,90
80770284,rabbit,3,95
80770284,rabbit,4,60
80770284,rabbit,5,85
80770284,rabbit,0,90
80770284,pigeon,1,35
80770284,pigeon,2,80
80770284,pigeon,3,85
80770284,pigeon,4,40
80770284,pigeon,5,75
80770284,pigeon,0,80
77037879,rabbit,1,67
77037879,rabbit,2,75
77037879,rabbit,3,78
77037879,rabbit,4,80
77037879,rabbit,5,70
77037879,rabbit,0,65
77037879,pigeon,1,30
77037879,pigeon,2,40
77037879,pigeon,3,52
77037879,pigeon,4,65
77037879,pigeon,5,48
77037879,pigeon,0,60
77037879,mouse,1,70
77037879,mouse,2,47
77037879,mouse,3,60
77037879,mouse,4,66
77037879,mouse,5,65
77037879,mouse,0,70
80770284,mouse,1,90
80770284,mouse,2,0
80770284,mouse,3,70
80770284,mouse,4,100
80770284,mouse,5,95
80770284,mouse,0,45
80770284,rabbit,1,40
80770284,rabbit,2,90
80770284,rabbit,3,95
80770284,rabbit,4,60
80770284,rabbit,5,85
80770284,rabbit,0,90
80770284,pigeon,1,35
80770284,pigeon,2,80
80770284,pigeon,3,85
80770284,pigeon,4,40
80770284,pigeon,5,75
80770284,pigeon,0,80
80770284,pigeon,0,80
28411886,pigeon,1,90
28411886,pigeon,2,75
28411886,pigeon,3,95
28411886,pigeon,4,65
28411886,pigeon,5,60
28411886,pigeon,0,75
28411886,rabbit,1,50
28411886,rabbit,2,65
28411886,rabbit,3,70
28411886,rabbit,4,45
28411886,rabbit,5,80
28411886,rabbit,0,80
28411886,mouse,1,80
28411886,mouse,2,50
28411886,mouse,3,55
28411886,mouse,4,95
28411886,mouse,5,85
28411886,mouse,0,65
17884260,pigeon,1,85
17884260,pigeon,2,88
17884260,pigeon,3,86
17884260,pigeon,4,89
17884260,pigeon,5,90
17884260,pigeon,0,90
17884260,rabbit,1,80
17884260,rabbit,2,90
17884260,rabbit,3,81
17884260,rabbit,4,77
17884260,rabbit,5,89
17884260,rabbit,0,95
17884260,mouse,1,95
17884260,mouse,2,91
17884260,mouse,3,92
17884260,mouse,4,70
17884260,mouse,5,100
17884260,mouse,0,81
25810765,mouse,1,40
25810765,mouse,2,85
25810765,mouse,3,45
25810765,mouse,4,70
25810765,mouse,5,70
25810765,mouse,0,90
25810765,pigeon,1,50
25810765,pigeon,2,30
25810765,pigeon,3,35
25810765,pigeon,4,30
25810765,pigeon,5,26
25810765,pigeon,0,10
25810765,rabbit,1,23
25810765,rabbit,2,15
25810765,rabbit,3,24
25810765,rabbit,4,10
25810765,rabbit,5,50
25810765,rabbit,0,60
28411886,pigeon,1,90
28411886,pigeon,2,75
28411886,pigeon,3,95
28411886,pigeon,4,65
28411886,pigeon,5,60
28411886,pigeon,0,75
28411886,rabbit,1,50
28411886,rabbit,2,65
28411886,rabbit,3,70
28411886,rabbit,4,45
28411886,rabbit,5,80
28411886,rabbit,0,80
28411886,mouse,1,80
28411886,mouse,2,50
28411886,mouse,3,55
28411886,mouse,4,95
28411886,mouse,5,85
28411886,mouse,0,65
28411886,mouse,0,65
17884260,pigeon,1,85
17884260,pigeon,2,88
17884260,pigeon,3,86
17884260,pigeon,4,89
17884260,pigeon,5,90
17884260,pigeon,0,90
17884260,rabbit,1,80
17884260,rabbit,2,90
17884260,rabbit,3,81
17884260,rabbit,4,77
17884260,rabbit,5,89
17884260,rabbit,0,95
17884260,mouse,1,95
17884260,mouse,2,91
17884260,mouse,3,92
17884260,mouse,4,70
17884260,mouse,5,100
17884260,mouse,0,81
17884260,mouse,0,81
54043355,mouse,1,90
54043355,mouse,2,85
54043355,mouse,3,90
54043355,mouse,4,90
54043355,mouse,5,80
54043355,mouse,0,75
54043355,pigeon,1,85
54043355,pigeon,2,60
54043355,pigeon,3,60
54043355,pigeon,4,60
54043355,pigeon,5,55
54043355,pigeon,0,60
54043355,rabbit,1,70
54043355,rabbit,2,65
54043355,rabbit,3,65
54043355,rabbit,4,70
54043355,rabbit,5,70
54043355,rabbit,0,70
25810765,mouse,1,40
25810765,mouse,2,85
25810765,mouse,3,45
25810765,mouse,4,70
25810765,mouse,5,70
25810765,mouse,0,90
25810765,pigeon,1,50
25810765,pigeon,2,30
25810765,pigeon,3,35
25810765,pigeon,4,30
25810765,pigeon,5,26
25810765,pigeon,0,10
25810765,rabbit,1,23
25810765,rabbit,2,15
25810765,rabbit,3,24
25810765,rabbit,4,10
25810765,rabbit,5,50
25810765,rabbit,0,60
25810765,rabbit,0,60
95455848,pigeon,1,55
95455848,pigeon,2,41
95455848,pigeon,3,61
95455848,pigeon,4,57
95455848,pigeon,5,64
95455848,pigeon,0,61
95455848,rabbit,1,56
95455848,rabbit,2,54
95455848,rabbit,3,57
95455848,rabbit,4,65
95455848,rabbit,5,55
95455848,rabbit,0,61
95455848,mouse,1,66
95455848,mouse,2,57
95455848,mouse,3,55
95455848,mouse,4,58
95455848,mouse,5,68
95455848,mouse,0,24
25549504,pigeon,1,70
25549504,pigeon,2,65
25549504,pigeon,3,70
25549504,pigeon,4,85
25549504,pigeon,5,50
25549504,pigeon,0,15
25549504,rabbit,1,70
25549504,rabbit,2,85
25549504,rabbit,3,40
25549504,rabbit,4,65
25549504,rabbit,5,85
25549504,rabbit,0,35
25549504,mouse,1,85
25549504,mouse,2,66
25549504,mouse,3,75
25549504,mouse,4,80
25549504,mouse,5,75
25549504,mouse,0,87
30801819,pigeon,1,100
30801819,pigeon,2,90
30801819,pigeon,3,70
30801819,pigeon,4,65
30801819,pigeon,5,55
30801819,pigeon,0,70
30801819,rabbit,1,85
30801819,rabbit,2,50
30801819,rabbit,3,60
30801819,rabbit,4,70
30801819,rabbit,5,80
30801819,rabbit,0,65
30801819,mouse,1,65
30801819,mouse,2,35
30801819,mouse,3,58
30801819,mouse,4,55
30801819,mouse,5,70
30801819,mouse,0,57
45386346,pigeon,1,36
45386346,pigeon,2,50
45386346,pigeon,3,50
45386346,pigeon,4,80
45386346,pigeon,5,88
45386346,pigeon,0,80
45386346,rabbit,1,50
45386346,rabbit,2,75
45386346,rabbit,3,68
45386346,rabbit,4,81
45386346,rabbit,5,75
45386346,rabbit,0,77
45386346,mouse,1,50
45386346,mouse,2,49
45386346,mouse,3,76
45386346,mouse,4,75
45386346,mouse,5,86
45386346,mouse,0,91
70804939,rabbit,1,90
70804939,rabbit,2,80
70804939,rabbit,3,80
70804939,rabbit,4,30
70804939,rabbit,5,85
70804939,rabbit,0,50
70804939,mouse,1,85
70804939,mouse,2,66
70804939,mouse,3,50
70804939,mouse,4,99
70804939,mouse,5,75
70804939,mouse,0,33
70804939,pigeon,1,25
70804939,pigeon,2,5
70804939,pigeon,3,10
70804939,pigeon,4,20
70804939,pigeon,5,50
70804939,pigeon,0,45
87955464,pigeon,1,80
87955464,pigeon,2,70
87955464,pigeon,3,70
87955464,pigeon,4,70
87955464,pigeon,5,60
87955464,pigeon,0,60
87955464,mouse,1,70
87955464,mouse,2,80
87955464,mouse,3,80
87955464,mouse,4,75
87955464,mouse,5,70
87955464,mouse,0,100
87955464,rabbit,1,80
87955464,rabbit,2,90
87955464,rabbit,3,50
87955464,rabbit,4,80
87955464,rabbit,5,30
87955464,rabbit,0,55
54114532,mouse,1,75
54114532,mouse,2,70
54114532,mouse,3,60
54114532,mouse,4,100
54114532,mouse,5,80
54114532,mouse,0,75
54114532,rabbit,1,100
54114532,rabbit,2,75
54114532,rabbit,3,60
54114532,rabbit,4,25
54114532,rabbit,5,100
54114532,rabbit,0,100
54114532,pigeon,1,80
54114532,pigeon,2,80
54114532,pigeon,3,80
54114532,pigeon,4,100
54114532,pigeon,5,100
54114532,pigeon,0,100
34709879,pigeon,1,100
34709879,pigeon,2,78
34709879,pigeon,3,67
34709879,pigeon,4,62
34709879,pigeon,5,74
34709879,pigeon,0,70
34709879,rabbit,1,60
34709879,rabbit,2,66
34709879,rabbit,3,76
34709879,rabbit,4,82
34709879,rabbit,5,79
34709879,rabbit,0,31
34709879,mouse,1,82
34709879,mouse,2,82
34709879,mouse,3,69
34709879,mouse,4,79
34709879,mouse,5,79
34709879,mouse,0,60
54043355,mouse,1,90
54043355,mouse,2,85
54043355,mouse,3,90
54043355,mouse,4,90
54043355,mouse,5,80
54043355,mouse,0,75
54043355,pigeon,1,85
54043355,pigeon,2,60
54043355,pigeon,3,60
54043355,pigeon,4,60
54043355,pigeon,5,55
54043355,pigeon,0,60
54043355,rabbit,1,70
54043355,rabbit,2,65
54043355,rabbit,3,65
54043355,rabbit,4,70
54043355,rabbit,5,70
54043355,rabbit,0,70
54043355,rabbit,0,70
28568753,rabbit,1,80
28568753,rabbit,2,75
28568753,rabbit,3,74
28568753,rabbit,4,60
28568753,rabbit,5,100
28568753,rabbit,0,85
28568753,pigeon,1,100
28568753,pigeon,2,100
28568753,pigeon,3,100
28568753,pigeon,4,85
28568753,pigeon,5,85
28568753,pigeon,0,85
28568753,mouse,1,70
28568753,mouse,2,85
28568753,mouse,3,60
28568753,mouse,4,60
28568753,mouse,5,85
